template csv,config,title,topic,explain,ex1,tran1,ex2,tran2,ex3,tran3
ch_tmpl_1.csv,ch_tmpl_1_1.json,烏鴉嘴,Jinx,烏鴉嘴，或是帶來壞運氣的人或東西,He’s a jinx,他是個烏鴉嘴,"Don't say that, you'll jinx the whole thing.",別說了，你會當烏鴉嘴把整件事弄砸。,Don't invite Mark; he's a Jinx who ruins every game night we have.,別邀請馬克，他是個烏鴉嘴，會毀掉我們每一次的遊戲之夜。
ch_tmpl_2.csv,ch_tmpl_2_1.json,自費,Out of pocket,自費，自掏腰包付錢,I'll cover it out of pocket.,我會自費支付。,I covered the repairs out of pocket last month.,上個月我自費支付修理費。,"If the drug isn't approved, patients must pay out of pocket for treatment.",如果該藥未獲核准，病人必須自費接受治療。
ch_tmpl_1.csv,ch_tmpl_1_1.json,哽咽,Choke up,感動或難過到聲音卡住、哽咽，講不下去,I always choke up during that song.,我每次聽到那首歌都會哽咽,I always choke up when I hear that song.,每次聽到那首歌我都會哽咽。,I always choke up when I hear Dad's old laugh on the tape.,每次聽到錄音帶裡爸爸那熟悉的笑聲，我總會哽咽。
ch_tmpl_2.csv,ch_tmpl_2_1.json,退步,Lose one's touch,曾經很會，現在手感差了，有點退步,I've lost my touch.,我已經退步了。,He's definitely beginning to lose his touch lately.,他最近確實開始退步了,"After years off, she started to lose her touch at playing the violin.",停了一段時間後，她拉小提琴的功力開始退步了。
ch_tmpl_1.csv,ch_tmpl_1_1.json,被劈腿了,Got cheated on,被劈腿了，感情被背叛整個人超受傷,I got cheated on.,我被劈腿了。,She got cheated on by her boyfriend.,她被男友劈腿了,I just found out I got cheated on by my boyfriend last weekend.,我剛發現上週末男朋友劈腿，我被劈腿了。
ch_tmpl_2.csv,ch_tmpl_2_1.json,佔位子,Hold a seat,在旁邊放東西佔位子，替別人保留座位或排隊位置,Can you hold a seat?,你可以幫我佔位子嗎？,Can you hold a seat for me at lunch?,午餐時你可以幫我佔位子嗎？,She asked her friend to hold a seat near the front for the concert.,她請朋友幫她佔位子，靠近前排，為演唱會留座。
ch_tmpl_1.csv,ch_tmpl_1_1.json,顧個東西的「顧」,Keep an eye on,盯著看、注意或照顧某物或某人，像是在顧個東西的「顧」,Keep an eye on the kids,幫我顧一下孩子,Can you keep an eye on my bag?,你可以幫我顧一下我的包包嗎？,Can you keep an eye on my laptop while I run to the bank?,我去銀行，你能幫我顧一下筆記型電腦嗎？
ch_tmpl_2.csv,ch_tmpl_2_1.json,穩交,Go steady,跟某人正式交往、感情穩定，就是所謂的穩交,We went steady throughout college.,我們在大學時期一直穩交,I don't want to go steady right now.,我現在不想穩交,"After months of dating, they finally decided to go steady and meet families.",經過幾個月的約會，他們終於決定穩交並見見彼此家人。
ch_tmpl_1.csv,ch_tmpl_1_1.json,贅肉,flab,身上多餘、鬆軟會晃動的贅肉，常見在小腹、手臂、腰際,I need to get rid of my flab.,我得把贅肉減掉,I'm trying to lose this stubborn belly flab.,我正努力甩掉這頑固的肚子贅肉。,I'm trying to lose the flab around my belly before summer starts.,我正試著在夏天來臨前減掉肚子周圍的贅肉。
ch_tmpl_2.csv,ch_tmpl_2_1.json,起水泡,get a blister,皮膚被摩擦或燙傷而起水泡，常常又痛又癢,Don't get a blister.,別起水泡。,Don't run too long or you'll get a blister,別跑太久，不然你會起水泡,If you keep wearing those tight shoes all day you'll get a blister.,如果你整天穿著那雙太緊的鞋子，就會起水泡。
