text,mode,background,valign,padding,ttf,font_size,font_color,line_spacing,alignment,tts,voice,speed,duration,highlight_color,highlight_bold,highlight_italic
打嘴炮,all,alltalk.png,top,333,,100,,10,,,,,,,,
的英文怎麽說,,,,,,,,,,,,,,,,
All Talk,append_center,#f4f5e9,,,,72,,,,,,,,#DD0000,false,false
光說不做、只會嘴上講卻沒有行動的人,,,,,,,,,,eleven,9lHjugDhwqoxA5MhX0az,,,,,
"He says he's going to start a business, but he's all talk",append_center,#f4f5e9,,,,,,,,,,,,#DD0000,false,false
"他說要創業，但只是嘴上說說而已",,,,,,,,,,eleven,9lHjugDhwqoxA5MhX0az,,,,,
"Don't believe his promises. He's all talk and no action.",append_center,#f4f5e9,,,,,,,,,,,,#DD0000,false,false
"別相信他的承諾，他只是光說不做",,,,,,,,,,eleven,9lHjugDhwqoxA5MhX0az,,,,,
"She claimed she would help, but she turned out to be all talk",append_center,#f4f5e9,,,,,,,,,,,,#DD0000,false,false
她說會幫忙，但結果只是說說而已,,,,,,,,,,eleven,9lHjugDhwqoxA5MhX0az,,,,,
追蹤我們學到更多實用英文,all,#f4f5e9,,,,50,#FF0000,,,gcloud,cmn-TW-Standard-A,1.5,,,,
