"text",position,"dub","wrap","pregap","postgap","mode","background",alignment,"valign",l_padding,r_padding,"v_padding","ttf","font_size","font_color","line_spacing","tts","voice","speed","duration","highlight_color","highlight_bold","highlight_italic"
"TOEIC Listening Test",,,,"0",,"free","#FFFFFF",center,top,,,100,"PublicSans-Black.ttf","150",,,"silent",,"1",0,,,
"PART 1",,,,,,,,center,,,,,"PublicSans-Black.ttf","80",#0033FF,,"eleven","pNInz6obpgDQGcFmaJgB","1",,,,
"1",,number 1,,,,,,left,,,,,"DMSans-Bold.ttf","70",,,"eleven",pNInz6obpgDQGcFmaJgB,"1",,,,
"

",,Look at the picture marked number 1 in your test book.,,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"<img w=""800"" h=""800"">$(q1.img)</img>",,,,,,,,,,,,,,,,,,,,,,,
"
",,A.,,,,,,,,,,,"DMSans-Regular.ttf","60",,,"$(q1.tts.engine)","$(q1.tts.voice)","1",,,,
"
",,$(q1.A),,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,B.,,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,$(q1.B),,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,C.,,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,$(q1.C),,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,D.,,,,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
"
",,$(q1.D),,,1,,,,,,,,,,,,$(q1.tts.engine),$(q1.tts.voice),1,,,,
TOEIC Listening Test,,,,0,,free,#FFFFFF,center,top,,,100,PublicSans-Black.ttf,150,,,silent,,1,0,,,
PART 1,,,,,,,,center,,,,,PublicSans-Black.ttf,80,#0033FF,,silent,,1,0,,,
2,,number 2,,,,,,left,,,,,DMSans-Bold.ttf,70,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"

",,Look at the picture marked number 2 in your test book.,,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"
",,A.,,,,,,,,,,,DMSans-Regular.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"
",,$(q2.A),,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,B.,,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,$(q2.B),,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,C.,,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,$(q2.C),,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,D.,,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
"
",,$(q2.D),,,,,,,,,,,,,,,eleven,pNInz6obpgDQGcFmaJgB,1.1,,,,
TOEIC Listening Test,,,,,,,,,,,,,,,,,,,,,,,
"PART 3: Conversations
 
",,,,,,,,,,,,,PublicSans-Black.ttf,150,,20,silent,,1,0,,,
Questions 32 through 34 refer to the following conversation,,,,,,,,,,,,,PublicSans-Black.ttf,80,#0033FF,,silent,,1,0,,,
$(q32.prompt),,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
$(q32.prompt[2]),,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"I’ve had it for a little over a year, so the warranty has probably just expired. This is so
disappointing.",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"Well, I’ll tell you what we can do. Although we can’t replace it, since you’re a valued
customer I can offer you a coupon for forty percent off your next purchase.",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
32. Why is the woman calling?,,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(A) To cancel an order,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) To complain about a product,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) To redeem a gift card,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
"(D) To renew a warranty
 
",,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
33. What does the man ask the woman about?,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(A) A model name,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) A brand of coffee,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) A catalog number,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
"(D) A date of purchase
  
",,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
34. What does the man offer to do?,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(A) Provide a discount,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) Send a free sample,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) Extend a warranty,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(D) Issue a refund,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
TOEIC Listening Test,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
"PART 3: Conversations
 
",,,,,,,,,,,,,PublicSans-Black.ttf,150,,20,silent,,1,0,,,
Questions 35 through 37 refer to the following conversation,,,,,,,,,,,,,PublicSans-Black.ttf,80,#0033FF,,silent,,1,0,,,
"Hello. I’m calling about a coffee machine I purchased from your Web site. It stopped
working even though I haven’t had it for very long. I expected it to last much longer
than this.",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"Oh, I’m sorry to hear that. Our warranty covers products for up to a year. Do you know
when you bought it?",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"I’ve had it for a little over a year, so the warranty has probably just expired. This is so
disappointing.",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"Well, I’ll tell you what we can do. Although we can’t replace it, since you’re a valued
customer I can offer you a coupon for forty percent off your next purchase.",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
"<img w=""800"" h=""800"">cat1.jpg</img>",,,,,,,,,,,,,DMSans-Bold.ttf,0,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
35. Why is the woman calling?,,,,,,,,,,,,,,,,,,,,,,,
(A) To cancel an order,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) To complain about a product,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) To redeem a gift card,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
"(D) To renew a warranty
 
",,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
36. What does the man ask the woman about?,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(A) A model name,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) A brand of coffee,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) A catalog number,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
"(D) A date of purchase
  
",,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
37. What does the man offer to do?,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(A) Provide a discount,,,,,,,,,,,,,SplineSansMono-Bold.ttf,60,,,eleven,pNInz6obpgDQGcFmaJgB,1,,,,
(B) Send a free sample,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(C) Extend a warranty,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
(D) Issue a refund,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
,,,,,,,,,,,,,SplineSansMono-Regular.ttf,60,,,silent,,1,0,,,
